StopID,Passenger_On_Weekday_GoodWeather,Passenger_On_Weekday_FairWeather,Passenger_On_Weekday_BadWeather,Passenger_On_Weekend_GoodWeather,Passenger_On_Weekend_FairWeather,Passenger_On_Weekend_BadWeather,Passenger_off_Weekday_GoodWeather,Passenger_off_Weekday_FairWeather,Passenger_off_Weekday_BadWeather,Passenger_off_Weekend_GoodWeather,Passenger_off_Weekend_FairWeather,Passenger_off_Weekend_BadWeather
626,0,0,0,0,0,0,0,0,0,0,0,0
627,0,0,0,0,0,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,0,0,0,0,0
629,0,0,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0,0,0
631,0,0,0,0,0,0,0,0,0,0,0,0
632,0,0,0,0,0,0,0,0,0,0,0,0
633,0,0,0,0,0,0,0,0,0,0,0,0
634,0,0,0,0,0,0,0,0,0,0,0,0
635,0,0,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0,0,0,0,0,0
689,0,0,0,0,0,0,0,0,0,0,0,0
690,0,0,0,0,0,0,0,0,0,0,0,0
720,0,0,1,0,0,0,0,1,1,0,0,0
865,0,0,0,0,0,0,0,0,0,0,0,0
866,0,0,0,0,0,0,0,0,0,0,0,0
867,0,0,0,0,0,0,0,0,0,0,0,0
870,0,0,0,0,0,0,0,0,0,0,0,0
871,0,0,0,0,0,0,0,0,0,0,0,0
872,0,0,0,0,0,0,0,0,0,0,0,0
873,0,0,0,0,0,0,0,0,0,0,0,0
874,0,0,0,0,0,0,0,0,0,0,0,0
877,1,1,1,1,0,0,1,0,1,0,0,0
882,0,0,0,0,0,0,2,2,2,1,1,0
883,1,2,1,1,1,1,0,0,0,0,0,0
884,2,2,1,2,2,2,0,0,1,0,0,0
887,1,1,0,0,0,0,0,0,1,0,0,0
889,1,1,1,0,1,0,0,0,0,0,0,0
976,0,0,0,0,0,0,0,0,0,0,0,0
979,0,0,0,0,0,0,0,0,0,0,0,0
1031,0,0,1,0,0,0,0,0,0,0,0,0
1033,0,0,0,0,0,0,0,0,0,0,0,0
1048,0,0,0,0,0,0,0,0,0,0,0,0
1051,0,0,0,0,0,0,0,0,0,0,0,0
1053,0,0,0,0,0,0,0,0,0,0,0,0
1054,0,0,0,0,0,0,0,0,0,0,0,0
1055,0,0,0,0,0,0,0,0,0,0,0,0
1058,0,0,0,0,0,0,0,0,0,0,0,0
1059,0,0,0,0,0,0,0,0,0,0,0,0
1060,0,0,0,0,0,0,0,0,0,0,0,0
1061,0,0,0,0,0,0,0,0,0,0,0,0
1062,0,0,0,0,0,0,0,0,0,0,0,0
1063,0,0,0,0,0,0,0,0,0,0,0,0
1064,0,0,0,0,0,0,0,0,0,0,0,0
1066,0,0,0,0,0,0,0,0,0,0,0,0
1067,0,0,0,0,0,0,0,0,0,0,0,0
